"connectionType","headline","name","photoUrl","profileId","profileUrl","reactionType"
"2nd","3D Motion Graphics Designer | Cinema 4D • Redshift • After Effects • Adobe CC • X-Particles | 6+ Years of Visual Stories | Product Animation • Digital Marketing • Brand Storytelling | Learning UE 5.5, Blender and Figma","Eva Nage Lacuskova","https://media.licdn.com/dms/image/v2/D5635AQGX4VUgVBG3kw/profile-framedphoto-shrink_400_400/B56ZdfMqtiGoAc-/0/1749648846216?e=1751990400&v=beta&t=fCQUxZpclVKAUJgHZ1gBsKRMmxU0FtkECNptvJOXGzw","ACoAAATur5EBl_zraysTY-YnZHPON0F5f7CJ17g","https://www.linkedin.com/in/ACoAAATur5EBl_zraysTY-YnZHPON0F5f7CJ17g","PRAISE"
"2nd","Brand Design at Nationwide | Campaign Future Leader 2022 | Dubai Lynx Judge 2024","Becci Salmon","https://media.licdn.com/dms/image/v2/D4E03AQGU7IK4hswSuw/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1693689891804?e=1756944000&v=beta&t=1-LlDRgCAtFhBanZQuotMlnAPp_pM2uGCukxHZaQOnE","ACoAAA5IVGMBcxHaIy_6-CCpVhBZjVLkIVbIlko","https://www.linkedin.com/in/ACoAAA5IVGMBcxHaIy_6-CCpVhBZjVLkIVbIlko","LIKE"
"2nd","Motion Design & Creative Direction","Edu Altarriba","https://media.licdn.com/dms/image/v2/D4D03AQFvK1oPbEJqnQ/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1678486612863?e=1756944000&v=beta&t=eGHJXIVI0SlEIlj0kPZLPTS6C1H28ZSIV074kP37AgE","ACoAAA35THQBj0kp9RhkMiqarPA_mDA1J5f3bOY","https://www.linkedin.com/in/ACoAAA35THQBj0kp9RhkMiqarPA_mDA1J5f3bOY","LIKE"
"3rd+","Graphic & Motion Designer","Pedro Morrison Bonatto","https://media.licdn.com/dms/image/v2/C4D03AQEhgaXyqXuOSw/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1613653289482?e=1756944000&v=beta&t=aFcBhjwCqgY27Avgap6T1iDvRjVWC6HcYorZAbR-E0k","ACoAABOyGAEBvKu5po4RpQuV2WDxGvkvYFMxoVM","https://www.linkedin.com/in/ACoAABOyGAEBvKu5po4RpQuV2WDxGvkvYFMxoVM","LIKE"
"2nd","Creative Director at Motion x Motion","Aakash Dhoot","https://media.licdn.com/dms/image/v2/D4D03AQG27Nmx7Ts9tQ/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1712911432958?e=1756944000&v=beta&t=VbDB5HuvehbDCUpuoOnYiLUX04Iaw2gOmgLF6j475BE","ACoAACLX-JMBsItCK1BaDbjqdB4Wofj52qA9Y44","https://www.linkedin.com/in/ACoAACLX-JMBsItCK1BaDbjqdB4Wofj52qA9Y44","LIKE"
"2nd","Motion Designer at Ahooy Creative","Ville Lappeteläinen","https://media.licdn.com/dms/image/v2/C4D03AQHhIjn42zwgkg/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1658904726348?e=1756944000&v=beta&t=qzw08lmtI0NKR-WkU4F_NNXTjY2U1K6wCDPKqjj7NMs","ACoAABU3-5oBlM5RUcvuEVdUr313SDPNUWvj9p4","https://www.linkedin.com/in/ACoAABU3-5oBlM5RUcvuEVdUr313SDPNUWvj9p4","EMPATHY"
"3rd+","Video Production Specialist at Restless","Ben Crisp",,"ACoAACcnRREBuQ67KCHbuJTT4vHv4JLk9PxX-Hg","https://www.linkedin.com/in/ACoAACcnRREBuQ67KCHbuJTT4vHv4JLk9PxX-Hg","LIKE"
"2nd","Motion Designer for Founders and Business Owners","Kef Williams","https://media.licdn.com/dms/image/v2/D4D03AQGQznsneVXwlQ/profile-displayphoto-shrink_800_800/B4DZYHjmPCGwAc-/0/1743883494934?e=1756944000&v=beta&t=18UJVD6xOZ1FHbkZ7bcW3Ag29sNW7aCcxubgpe_c3OQ","ACoAACEVNWwBDOtnHN0uQpOaRsZ1nW-LHYq_cNQ","https://www.linkedin.com/in/ACoAACEVNWwBDOtnHN0uQpOaRsZ1nW-LHYq_cNQ","LIKE"
"2nd","Illustrator","Arunas Kacinskas","https://media.licdn.com/dms/image/v2/D4D03AQGJ3UasTgbaBw/profile-displayphoto-shrink_400_400/B4DZc7tQo5HwAs-/0/1749053410817?e=1756944000&v=beta&t=ezDivRw5tODrYNmM44_XDAudELANi16Vt_y_bS76y4I","ACoAAATn3oUBquptSdOsPYH_Yj2SCQYtaVtTwQE","https://www.linkedin.com/in/ACoAAATn3oUBquptSdOsPYH_Yj2SCQYtaVtTwQE","LIKE"
"3rd+","Motion Director at INFINITO","Carlos Vargas","https://media.licdn.com/dms/image/v2/D4E03AQHPHYCpUwpaYQ/profile-displayphoto-shrink_100_100/profile-displayphoto-shrink_100_100/0/1719885921701?e=1756944000&v=beta&t=Olidfo3yMuvX-ZdHprgEexzrS9QhI8FEB8YqNGH1Urc","ACoAACK4NwwBC5P2UchfHCZirTDggoNN7JFwaC4","https://www.linkedin.com/in/ACoAACK4NwwBC5P2UchfHCZirTDggoNN7JFwaC4","LIKE"
